Verbal Communication 1,Verbal Communication 2,Verbal Communication 3,Ethical Judgment 1,Ethical Judgment 2,Ethical Judgment 3,Resilience 1,Resilience 2,Quantitative Analysis 1,Quantitative Analysis 2,Theoretical Thinking 1,Theoretical Thinking 2,Patience for Research 1,Patience for Research 2,Critical Evaluation 1,Critical Evaluation 2,Critical Thinking 1,Critical Thinking 2,Recommended Field
5,4,5,5,4,4,3,4,2,3,5,5,4,4,5,4,5,4,Law
4,4,4,5,5,4,4,5,2,3,4,4,5,5,5,4,5,5,Law
5,5,5,5,5,5,4,4,3,3,5,4,5,4,4,5,5,4,Law
4,3,4,5,4,5,4,3,2,3,5,4,4,4,5,4,5,5,Law
5,5,5,5,5,5,4,5,2,3,5,5,5,4,5,4,5,5,Law
4,4,4,5,4,4,3,3,1,3,4,4,5,5,4,5,5,4,Law
3,4,4,5,4,5,4,4,2,3,4,5,5,4,4,4,5,5,Law
4,5,4,5,5,5,4,5,2,3,4,5,5,4,5,4,4,5,Law
5,4,5,5,4,4,4,3,1,3,4,5,5,4,5,4,5,5,Law
4,5,5,5,5,5,4,4,2,4,4,4,4,5,5,5,5,5,Law
5,4,5,5,4,4,4,5,2,3,5,4,4,4,5,4,5,4,Law
4,4,5,5,4,4,3,3,2,3,4,5,5,4,4,5,5,5,Law
3,4,5,5,5,5,3,5,2,3,5,4,5,4,5,4,4,4,Law
5,4,4,5,5,4,4,4,3,4,5,4,4,5,5,4,5,5,Law
5,4,5,5,5,4,4,3,2,3,4,4,5,4,4,4,5,5,Law
3,3,3,4,4,4,4,4,5,5,4,4,5,5,4,4,5,5,Economics
2,3,3,3,4,4,4,4,5,5,5,5,5,4,4,5,5,4,Economics
3,2,3,4,4,4,4,5,5,4,5,4,4,4,5,4,5,5,Economics
2,3,2,4,4,3,4,4,5,5,4,5,4,5,4,5,5,5,Economics
3,3,3,4,4,3,4,5,5,5,5,4,5,5,5,4,5,5,Economics
2,3,3,4,3,4,3,4,4,5,5,4,5,4,5,4,5,5,Economics
3,3,3,3,4,3,3,3,5,4,5,5,4,4,5,5,4,4,Economics
2,3,3,4,4,4,3,4,5,5,4,4,5,5,5,4,5,5,Economics
3,2,3,3,4,3,4,5,5,4,5,4,4,4,4,5,5,4,Economics
2,2,3,4,3,4,4,4,5,5,5,5,5,5,4,5,5,5,Economics
3,3,3,3,4,3,4,4,5,5,5,4,4,4,5,4,5,5,Economics
2,3,3,3,4,3,4,3,5,4,4,5,5,4,5,5,4,5,Economics
3,2,2,4,4,3,4,4,5,5,5,5,4,5,5,4,5,4,Economics
2,3,3,4,4,4,4,3,5,5,4,5,5,4,4,5,5,5,Economics
3,3,2,4,4,3,3,4,5,5,5,4,4,4,5,4,5,5,Economics
4,5,4,5,5,5,5,4,3,3,4,4,4,4,4,5,4,5,Business Adminstration
5,5,5,5,5,4,4,5,3,4,4,4,4,3,4,5,4,4,Business Adminstration
5,5,4,4,5,5,5,5,3,4,4,4,3,4,5,4,4,5,Business Adminstration
4,4,5,5,5,4,5,4,3,3,4,3,4,5,5,4,4,4,Business Adminstration
5,4,5,5,4,5,5,5,3,3,4,4,4,4,5,5,5,5,Business Adminstration
4,4,5,5,4,5,4,5,3,3,4,3,3,4,5,4,5,5,Business Adminstration
5,4,5,5,4,4,4,4,3,3,3,4,4,3,4,5,5,4,Business Adminstration
4,5,4,5,5,4,5,5,3,4,4,3,4,4,5,4,4,5,Business Adminstration
5,4,5,5,5,5,5,5,4,3,4,4,4,4,4,5,4,5,Business Adminstration
4,4,4,4,4,4,4,5,3,3,3,4,4,3,4,4,5,5,Business Adminstration
5,4,5,5,5,4,4,4,3,3,3,3,4,4,4,5,4,4,Business Adminstration
4,5,4,4,5,4,4,4,3,4,4,4,4,4,5,4,4,4,Business Adminstration
5,5,4,4,5,5,5,4,4,3,4,3,4,4,5,4,5,4,Business Adminstration
4,5,5,4,4,5,4,5,3,3,4,4,3,4,4,5,5,5,Business Adminstration
5,4,5,5,5,5,5,5,3,3,4,4,4,4,5,4,4,5,Business Adminstration